RunNumber	BeamCurrent(nA)	Target
20489	64.1732	LD2 + Al 
20490	3.93136	LD2 + Al 
20492	17.9782	LD2 + Al 
20493	43.2421	LD2 + Al 
20494	4.34849	LD2 + Pb 
20499	4.25281	LD2 + Pb 
20500	9.3955	LD2 + Pb 
20502	18.093	LD2 + Pb 
20503	37.8587	LD2 + Pb 
20504	8.9009	LD2 + Pb 
20505	0.00265339	LD2 + Pb 
20506	51.8423	Al 
20507	14.0263	Wire 
20508	2.30701	LD2 + C 
20509	46.8687	LD2 + C 
20510	47.5059	LD2 + C 
20512	0.00230317	LD2 + C 
20514	46.7643	LD2 + C 
20515	0.0368507	LD2 + C 
20516	52.6128	LD2 + C 
20517	0.429925	LD2 + C 
20518	54.8492	LD2 + C 
20519	53.4964	LD2 + C 
20520	47.2292	LD2 + Pb 
20521	12.4354	LD2 + Pb 
20522	49.9946	LD2 + Pb 
20523	48.3734	LD2 + Pb 
20524	0.366168	LD2 + Pb 
20525	50.1676	LD2 + Pb 
